state,county,tract,B08134_022E,B08134_023E,B08134_024E,B08134_025E,B08134_026E,B08134_027E,B08134_028E,B08134_029E,B08134_030E,B08134_032E,B08134_033E,B08134_034E,B08134_035E,B08134_036E,B08134_037E,B08134_038E,B08134_039E,B08134_040E,B08134_062E,B08134_063E,B08134_064E,B08134_065E,B08134_066E,B08134_067E,B08134_068E,B08134_069E,B08134_070E,B08134_102E,B08134_103E,B08134_104E,B08134_105E,B08134_106E,B08134_107E,B08134_108E,B08134_109E,B08134_110E,B08134_112E,B08134_113E,B08134_114E,B08134_115E,B08134_116E,B08134_117E,B08134_118E,B08134_119E,B08134_120E
48,021,950400,598,245,261,307,62,250,282,358,310,29,56,137,25,0,71,42,37,74,0,0,0,0,0,0,0,0,0,33,0,70,0,0,48,0,22,0,35,0,0,0,0,0,0,0,23
48,021,950501,255,280,369,150,114,167,93,506,195,24,13,33,50,0,31,92,8,210,0,0,0,0,0,0,0,0,0,16,0,119,0,0,0,0,0,0,12,6,21,0,0,0,0,0,30
48,021,950502,155,113,320,281,85,140,192,381,342,16,27,0,18,0,0,0,38,121,0,0,0,0,0,0,0,0,21,35,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,37
48,021,950600,178,263,290,135,142,76,108,125,292,0,0,0,20,0,19,16,175,70,0,0,0,0,0,0,0,0,0,17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,35,0
48,021,950700,446,227,125,108,8,59,18,111,198,11,29,25,56,29,20,0,18,14,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,6,0,0,0,7,26,0,0,0,0,0,0
48,021,950801,75,0,138,152,137,489,277,539,305,28,0,0,31,0,112,21,160,48,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
48,021,950802,206,113,163,164,124,459,249,417,461,0,0,0,61,10,30,73,24,97,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,30,0,0,0,0,0,0,17,0,10,0
48,023,950300,725,171,147,98,24,8,0,9,100,63,5,8,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,0,0,0,0,0,0,0,0,0,0,0,0,0
48,025,950100,101,23,28,100,29,147,35,25,77,9,0,3,0,2,37,29,0,33,0,0,0,0,0,0,0,2,0,20,0,0,0,0,0,0,0,0,0,0,0,0,0,11,0,9,0
48,025,950201,58,133,93,6,0,31,16,49,126,0,15,4,0,0,14,5,12,19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
48,025,950202,318,313,310,85,37,78,22,124,215,28,16,49,42,0,26,57,11,41,0,0,0,0,0,0,0,0,0,15,0,1,0,0,0,0,43,0,0,13,0,0,8,0,0,0,0
48,025,950300,762,463,112,37,0,94,46,32,220,146,80,14,0,0,17,8,25,27,0,0,0,0,0,0,0,0,0,32,0,0,0,0,0,0,0,0,35,0,16,8,0,0,0,0,0
