state,county,tract,C18108_003E,C18108_004E,C18108_005E,C18108_007E,C18108_008E,C18108_009E,C18108_011E,C18108_012E,C18108_013E
48,029,171902,0,40,3770,274,320,6584,120,159,237
48,029,171903,94,33,1918,153,134,3746,221,171,407
48,029,171912,40,24,1746,167,56,3750,81,103,243
48,029,171913,57,51,1677,293,185,2686,88,188,183
48,029,171914,96,20,1580,330,193,2891,113,142,232
48,029,171915,83,6,526,193,44,1058,68,60,192
48,029,171916,149,16,2623,227,207,4195,103,174,197
48,029,171917,0,9,3042,167,208,5449,19,145,282
48,029,171918,93,22,1720,88,109,3377,35,50,124
48,029,171919,46,0,1305,165,53,2137,0,32,27
48,029,171920,136,4,2886,285,268,4922,146,204,248
48,029,171921,106,13,1773,238,124,3125,0,61,181
48,029,171922,60,20,1037,99,94,1786,0,30,86
48,029,171923,46,130,1705,684,240,5514,66,266,207
48,029,171924,0,63,1155,136,57,3480,36,0,118
48,029,171925,0,33,2059,327,332,5639,106,103,506
48,029,172002,126,123,2850,513,450,4401,125,307,627
48,029,172003,49,6,2083,198,58,3449,52,41,224
48,029,172004,57,0,905,96,163,1733,60,155,593
48,029,172005,20,9,1587,12,73,2871,13,35,348
48,029,172006,81,8,2201,263,188,4128,15,40,388
48,029,172007,31,1,3356,235,75,5241,64,129,387
48,029,180101,6,0,1041,208,127,2809,28,247,477
48,029,180102,28,0,320,17,68,1237,8,129,182
48,029,180201,50,45,1047,258,180,2477,164,120,275
48,029,180202,32,0,1079,263,159,2580,272,158,456
48,029,180300,63,93,866,210,265,1973,151,166,241
48,029,180400,130,40,1238,170,241,2274,97,63,197
48,029,180501,45,49,1083,245,361,2176,173,232,378
48,029,180503,37,7,1084,224,289,2289,117,116,373
48,029,180504,65,44,1288,243,130,2302,97,156,298
48,029,180602,78,0,383,39,142,1429,162,236,323
48,029,180603,48,0,562,66,52,686,58,37,217
48,029,180604,56,0,1463,363,134,3257,201,115,540
48,029,180701,17,0,698,182,110,2337,78,52,367
48,029,180702,125,0,1556,188,205,3987,136,287,436
48,029,180800,11,0,511,117,172,1277,55,47,102
48,029,180901,67,0,1354,245,163,3198,157,89,441
48,029,180902,0,0,1994,132,366,4038,275,107,562
48,029,181001,73,0,924,171,233,2055,83,79,254
48,029,181003,20,0,1536,185,105,3796,22,105,144
48,029,181004,7,0,875,163,118,3725,0,99,280
48,029,181005,33,8,946,131,220,2167,55,49,127
48,029,181100,0,43,1253,171,168,3230,136,237,981
48,029,181200,40,0,736,125,78,2433,149,148,812
48,029,181301,48,0,781,171,127,3004,37,52,416
48,029,181302,23,30,1059,147,77,3950,61,167,491
48,029,181303,0,0,1006,245,78,2068,35,41,55
