state,county,tract,B11016_003E,B11016_004E,B11016_005E,B11016_006E,B11016_007E,B11016_008E,B11016_010E,B11016_011E,B11016_012E,B11016_013E,B11016_014E,B11016_015E,B11016_016E
48,029,171923,606,644,384,170,182,29,889,75,99,0,0,0,0
48,029,171924,257,304,248,111,70,4,933,291,10,0,0,0,0
48,029,171925,802,927,284,225,150,22,671,118,19,0,0,0,0
48,029,172002,683,303,599,276,118,179,829,120,15,0,0,0,0
48,029,172003,380,283,343,215,113,105,160,97,0,0,0,0,0
48,029,172004,503,193,124,104,65,37,279,59,0,0,0,0,0
48,029,172005,362,277,367,168,21,32,466,45,40,12,0,0,0
48,029,172006,808,483,315,338,85,15,460,28,0,0,0,0,0
48,029,172007,641,750,566,249,271,33,341,9,27,0,0,0,0
48,029,180101,362,354,169,118,28,51,648,106,11,0,0,0,0
48,029,180102,113,187,63,6,6,34,359,54,3,0,0,0,0
48,029,180201,404,246,207,164,0,25,545,147,31,0,0,0,0
48,029,180202,612,294,152,152,18,0,970,87,0,0,0,0,0
48,029,180300,342,286,198,33,40,54,505,28,0,0,0,0,0
48,029,180400,341,208,210,112,125,17,280,59,0,0,0,0,0
48,029,180501,529,149,162,147,51,7,706,116,38,12,0,0,0
48,029,180503,348,287,156,96,77,94,245,28,0,0,0,0,0
48,029,180504,334,299,138,214,43,75,120,49,0,0,0,0,0
48,029,180602,309,191,114,70,0,0,526,61,0,0,0,0,0
48,029,180603,128,143,62,36,36,0,290,12,0,0,0,0,0
48,029,180604,673,249,184,163,15,121,799,119,0,0,0,0,0
48,029,180701,431,174,152,0,26,0,941,178,37,0,19,0,0
48,029,180702,492,356,223,139,35,35,1385,348,87,0,0,0,0
48,029,180800,220,99,80,63,15,0,540,87,0,0,0,0,0
48,029,180901,388,314,326,87,78,63,622,85,14,10,0,0,0
48,029,180902,845,185,280,271,110,84,582,84,36,27,0,0,0
48,029,181001,489,124,165,156,55,0,416,44,0,0,0,0,0
48,029,181003,514,388,317,16,51,0,1092,238,0,41,0,0,0
48,029,181004,241,472,200,35,0,0,1427,316,0,0,0,0,0
48,029,181005,248,306,122,34,0,27,822,158,15,20,0,0,0
48,029,181100,928,335,279,67,16,46,699,129,30,0,0,0,0
48,029,181200,697,335,148,42,40,0,741,71,0,0,0,0,0
48,029,181301,518,314,193,29,14,0,792,309,0,0,0,0,0
48,029,181302,714,323,108,51,10,56,1450,306,11,0,0,0,0
48,029,181303,190,116,199,59,32,55,534,64,39,0,0,0,0
48,029,181402,128,64,83,4,23,0,720,100,16,0,0,0,0
48,029,181403,485,177,313,60,102,0,1382,284,144,17,0,0,0
48,029,181404,467,445,206,8,0,0,1321,173,0,0,0,0,0
48,029,181503,976,400,187,109,29,0,1077,244,63,0,0,0,0
48,029,181504,668,271,288,43,0,0,1426,302,13,0,0,0,0
48,029,181505,697,307,132,66,51,33,471,62,15,0,0,0,0
48,029,181506,506,145,178,96,0,42,772,138,42,0,0,0,0
48,029,181601,324,206,129,78,26,14,332,47,27,19,0,0,0
48,029,181602,484,310,328,94,171,86,414,34,0,0,0,0,0
48,029,181703,872,580,264,143,28,34,611,81,60,0,0,0,0
48,029,181704,547,294,407,136,68,18,378,63,0,13,0,0,0
48,029,181705,524,284,176,129,69,27,942,38,22,0,0,0,0
48,029,181711,824,637,251,297,85,49,458,16,23,0,0,0,0
48,029,181712,374,223,244,77,6,40,331,62,0,0,0,0,0
48,029,181713,618,442,376,344,0,103,545,67,0,0,0,0,0
