state,county,tract,B08006_020E,B08006_021E,B08006_025E,B08006_031E,B08006_032E,B08006_033E,B08006_034E,B08006_037E,B08006_038E,B08006_042E,B08006_048E,B08006_049E,B08006_050E,B08006_051E
48,029,172005,1199,187,7,0,24,37,33,980,170,0,0,0,0,21
48,029,172006,1566,291,35,0,0,0,21,1394,288,0,0,0,17,112
48,029,172007,2207,266,0,0,0,14,28,1708,293,0,0,1,25,46
48,029,180101,1015,54,50,0,12,0,22,877,46,54,0,12,0,7
48,029,180102,508,53,0,0,0,0,8,258,10,93,0,0,3,14
48,029,180201,825,179,78,0,48,22,10,552,63,41,0,37,0,17
48,029,180202,617,80,153,0,41,0,25,772,76,0,0,27,0,0
48,029,180300,645,31,18,9,0,51,0,615,92,19,0,0,28,0
48,029,180400,825,115,102,0,0,0,0,721,52,49,0,0,0,9
48,029,180501,818,75,85,0,0,0,51,562,21,92,0,52,0,43
48,029,180503,920,52,38,0,0,5,6,583,55,0,0,0,10,0
48,029,180504,673,69,38,0,31,19,0,474,129,8,0,27,13,0
48,029,180602,523,28,87,0,0,0,0,297,139,49,0,0,36,0
48,029,180603,336,11,7,0,0,0,8,221,35,11,0,0,0,11
