state,county,tract,Citizen,Naturalized Citizen,Not a U.S. Citizen,English,Speaks Spanish,Speaks Other Language
48,029,191804,5596,297,130,5205,627,191
48,029,191806,6909,686,331,6335,1003,588
48,029,191807,3357,297,299,2804,987,162
48,029,191808,2959,189,295,2525,738,180
48,029,191809,4698,351,1094,4146,1611,386
48,029,191810,4014,571,187,3574,684,514
48,029,191811,3211,304,309,3099,291,434
48,029,191812,3897,492,159,3371,851,326
48,029,191813,5114,536,223,4510,1012,351
48,029,191814,3161,260,339,2465,1020,275
48,029,191815,4443,309,523,3727,1158,390
48,029,191816,2079,124,477,1670,697,313
48,029,191817,8922,877,972,7692,2100,979
48,029,191900,4197,212,860,2268,2989,12
48,029,192000,4581,89,207,3186,1426,265
48,029,192100,2330,173,67,1539,978,53
48,029,192200,1186,53,121,790,505,65
48,029,192300,3721,154,110,3012,804,169
48,029,980001,0,0,0,0,0,0
48,029,980002,6,14,0,0,20,0
48,029,980003,1285,24,7,1174,105,37
48,029,980004,0,0,0,0,0,0
48,029,980005,18,0,5,18,5,0
48,029,980100,439,37,46,393,37,92
48,031,950100,4236,128,289,4008,586,59
48,031,950200,5076,173,227,4600,777,99
48,033,950100,587,0,8,551,38,6
48,035,950100,3515,61,158,3176,556,2
48,035,950200,1464,26,56,1279,262,5
48,035,950300,1646,3,53,1570,132,0
48,035,950400,3133,60,164,3016,274,67
48,035,950500,2346,124,216,1955,715,16
48,035,950600,1552,33,27,1461,122,29
48,035,950700,2274,50,119,2141,280,22
48,037,010100,5102,8,86,5037,148,11
48,037,010400,3714,9,33,3667,54,35
48,037,010500,2230,13,132,2144,174,57
48,037,010600,1962,31,45,1958,68,12
48,037,010700,3930,26,317,3840,420,13
48,037,010800,4190,99,274,3831,669,63
48,037,010901,6787,239,102,6788,3,337
48,037,010902,5559,326,346,5448,306,477
48,037,011000,7284,30,81,7294,71,30
48,037,011100,5971,142,225,5564,604,170
48,037,011200,5884,76,37,5671,244,82
48,037,011300,5007,86,118,4861,350,0
48,037,011401,7600,84,36,7594,51,75
48,037,011402,2142,10,6,2133,20,5
48,037,011501,6632,61,179,6096,670,106
48,037,011502,2707,7,0,2694,20,0
48,037,011600,4837,77,39,4857,84,12
48,037,011700,2240,0,0,2226,14,0
48,039,660100,4263,88,20,3861,410,100
48,039,660200,4967,167,218,4687,537,128
48,039,660300,8835,427,232,7707,1524,263
48,039,660400,7751,881,456,6608,1451,1029
48,039,660500,7326,548,767,5994,2364,283
48,039,660601,8627,1910,721,8084,787,2387
48,039,660602,20160,4145,3593,17460,4634,5804
48,039,660701,11414,1690,1015,10303,1215,2601
48,039,660702,9436,1206,1564,8588,1259,2359
48,039,660801,6910,578,659,5651,1670,826
48,039,660802,6382,380,280,5914,943,185
48,039,660900,5153,272,570,3813,2033,149
48,039,661000,5009,189,893,4327,1687,77
48,039,661100,2758,93,128,2281,689,9
48,039,661200,3214,182,258,2976,646,32
48,039,661300,2085,85,165,1663,642,30
48,039,661400,5549,100,317,4122,1843,1
48,039,661501,4165,257,296,3511,1169,38
48,039,661502,4060,156,162,3755,457,166
48,039,661601,5152,212,680,4796,1220,28
48,039,661602,2731,75,249,2353,625,77
48,039,661700,2174,99,200,2105,368,0
48,039,661800,4752,739,639,3813,1727,590
48,039,661900,11527,499,973,8410,4243,346
48,039,662000,5424,249,107,4832,941,7
48,039,662100,4918,114,333,4072,1230,63
48,039,662200,5514,138,201,4824,931,98
48,039,662300,4040,128,175,3683,652,8
48,039,662400,5023,77,303,4630,758,15
48,039,662500,2407,83,140,2086,499,45
48,039,662600,3095,111,56,2837,401,24
