state,county,tract,B11001B_003E,B11001B_005E,B11001B_006E,B11001B_008E,B11001B_009E,B11001C_003E,B11001C_005E,B11001C_006E,B11001C_008E,B11001C_009E,B11001D_003E,B11001D_005E,B11001D_006E,B11001D_008E,B11001D_009E,B11001E_003E,B11001E_005E,B11001E_006E,B11001E_008E,B11001E_009E,B11001F_003E,B11001F_005E,B11001F_006E,B11001F_008E,B11001F_009E,B11001G_003E,B11001G_005E,B11001G_006E,B11001G_008E,B11001G_009E,B11001H_003E,B11001H_005E,B11001H_006E,B11001H_008E,B11001H_009E,B11001I_003E,B11001I_005E,B11001I_006E,B11001I_008E,B11001I_009E
48,027,021000,55,11,18,109,38,0,0,0,0,0,17,0,8,34,11,0,0,0,0,0,17,0,18,0,7,12,0,25,12,0,176,7,96,382,43,313,64,33,62,49
48,027,021100,45,17,8,71,0,0,0,0,0,0,0,0,0,0,19,0,0,0,0,0,21,0,20,36,0,0,0,21,35,0,478,82,128,520,96,307,14,78,202,0
48,027,021201,66,11,84,30,17,0,0,0,7,0,69,0,0,0,0,0,0,0,0,0,10,0,6,0,0,7,0,8,35,0,350,0,73,339,20,81,0,14,71,6
48,027,021202,15,12,41,76,13,10,0,0,0,0,6,0,0,8,0,17,0,0,0,0,0,6,9,0,0,8,14,0,0,0,547,12,83,327,22,77,28,59,34,30
48,027,021203,58,0,67,9,7,0,0,7,0,0,0,0,0,20,12,0,0,0,0,0,25,0,0,13,0,5,0,7,0,19,693,34,47,279,85,141,0,56,109,19
48,027,021301,40,31,56,26,14,15,0,8,0,0,23,0,0,0,0,0,0,0,0,0,0,0,0,16,0,0,0,0,14,0,854,28,78,518,15,102,0,0,41,0
48,027,021302,31,0,29,36,0,0,0,0,0,0,29,0,0,6,0,0,0,0,44,0,15,0,0,0,0,0,0,0,0,0,632,23,121,432,42,31,6,0,0,0
48,027,021303,177,19,102,95,0,0,0,0,0,0,75,0,18,71,0,0,0,0,0,0,13,0,8,20,0,0,10,0,0,0,883,43,95,446,129,134,0,33,70,0
48,027,021400,0,0,0,0,0,4,0,0,0,0,11,0,0,0,0,0,0,0,0,0,3,0,2,9,0,0,0,0,0,0,706,82,128,277,6,118,23,8,32,0
48,027,021500,7,0,49,54,61,22,25,9,0,0,0,0,0,0,0,0,0,0,0,0,0,27,14,0,9,0,0,0,0,28,619,48,161,249,11,326,27,111,53,9
