state,county,tract,B16008_006E,B16008_007E,B16008_009E,B16008_010E,B16008_014E,B16008_015E,B16008_017E,B16008_018E,B16008_022E,B16008_024E,B16008_025E,B16008_027E,B16008_028E,B16008_030E,B16008_032E,B16008_033E,B16008_035E,B16008_036E,B16008_039E,B16008_041E,B16008_042E,B16008_044E,B16008_045E,B16008_047E,B16008_049E,B16008_050E,B16008_052E,B16008_053E
48,439,122200,98,162,0,0,114,6,1,0,0,8,0,0,0,16,4,25,0,19,11,58,9,0,0,5,1,518,0,10
48,439,122300,13,12,0,0,221,12,82,10,0,0,0,4,0,51,16,10,76,8,0,0,0,0,8,24,74,32,987,247
48,439,122400,101,26,15,0,200,5,112,0,0,0,0,0,0,102,7,0,5,69,0,119,64,0,0,40,229,570,251,279
48,439,122500,11,0,0,0,82,32,8,0,0,0,0,0,0,40,28,26,0,12,0,0,0,0,0,59,13,82,47,0
48,439,122600,0,8,0,0,103,9,129,0,0,0,0,0,0,33,9,0,20,44,0,0,0,0,0,145,23,0,9,14
48,439,122700,81,14,42,0,114,25,46,0,34,0,0,0,0,11,67,42,24,71,0,38,0,0,0,0,55,147,2,84
48,439,122801,174,44,29,0,193,30,83,0,14,41,0,0,0,0,30,20,40,14,0,34,71,7,0,42,86,939,46,79
48,439,122802,220,167,0,0,167,110,7,8,0,0,0,0,0,55,14,45,104,56,0,47,64,0,196,39,116,889,148,111
48,439,122900,864,279,243,0,542,84,150,47,0,0,0,0,0,0,149,198,137,205,0,74,24,0,0,48,154,1196,0,36
48,439,123000,26,18,0,0,281,116,154,0,20,0,0,0,0,58,12,61,22,27,0,0,0,0,0,59,72,171,58,120
48,439,123100,169,81,0,0,94,109,0,0,0,6,0,0,0,22,5,37,2,0,0,15,12,0,0,9,32,309,7,0
48,439,123200,113,4,9,0,213,39,0,0,0,0,0,0,0,0,4,61,0,28,0,0,0,10,0,16,99,137,0,0
48,439,123300,14,9,0,0,303,50,18,0,0,0,0,0,0,50,35,19,43,9,0,0,0,0,0,34,24,90,64,18
48,439,123400,20,25,6,6,206,32,20,0,0,0,0,0,0,7,8,5,11,15,0,0,10,0,0,16,79,66,33,0
48,439,123500,277,69,4,0,151,23,14,0,0,0,0,0,0,0,36,36,14,0,0,55,6,0,0,3,112,314,0,0
48,439,123600,245,32,0,0,424,25,27,0,0,0,0,0,0,0,47,31,20,20,18,0,13,0,6,16,99,297,0,11
48,439,980000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
48,441,010100,0,0,0,0,169,53,81,0,0,0,0,0,0,99,0,0,18,0,0,0,0,0,9,6,25,0,57,169
48,441,010200,101,4,0,0,202,28,8,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,29,0,0
48,441,010300,86,0,5,0,194,48,0,0,0,0,0,0,0,8,34,0,13,0,0,0,0,0,8,0,30,0,17,14
48,441,010400,84,17,0,0,510,117,0,0,0,0,0,0,0,6,49,32,9,0,0,0,0,0,0,12,16,67,10,12
48,441,010500,104,0,6,0,406,53,10,0,0,0,0,0,0,0,15,50,7,0,0,0,0,0,0,0,22,82,9,0
48,441,010600,7,0,0,0,185,41,71,0,0,0,0,0,0,36,12,17,0,0,0,0,0,0,0,44,64,31,0,0
48,441,010700,132,14,0,0,765,80,7,0,0,0,0,0,0,7,53,89,0,0,0,11,0,0,0,17,69,92,0,0
48,441,010800,81,23,0,0,260,79,6,0,0,0,0,0,0,6,32,16,9,0,0,31,0,0,0,0,5,99,0,0
48,441,010900,50,0,0,0,338,134,47,19,0,0,0,0,0,42,0,0,64,0,0,0,0,76,43,0,0,35,0,57
48,441,011000,0,0,0,0,80,22,0,0,0,0,0,0,0,0,0,12,0,0,0,0,0,0,0,11,0,7,16,9
48,441,011200,90,32,28,0,445,8,16,0,0,0,0,0,0,6,0,43,0,0,0,0,0,0,0,0,22,0,0,0
48,441,011300,22,13,0,0,194,27,43,0,0,0,0,0,0,0,24,21,68,14,6,0,0,0,209,23,39,19,49,192
48,441,011400,16,0,0,0,244,9,0,9,0,0,0,0,0,30,0,8,0,0,0,0,0,0,0,42,0,0,0,0
