state,county,tract,travel.time.to.work_less than 10 minutes,travel.time.to.work_10 to 14 minutes,travel.time.to.work_15 to 19 minutes,travel.time.to.work_20 to 24 minutes,travel.time.to.work_25 to 29 minutes,travel.time.to.work_30 to 34 minutes,travel.time.to.work_35 to 44 minutes,travel.time.to.work_45 to 59 minutes,travel.time.to.work_60 minutes or more
48,029,190700,475,3765,5200,4275,800,3840,990,2475,2720
48,029,190800,,,,,,,,,
48,029,190901,,,,,,,,,
48,029,190902,,,,,,,,,
48,029,191003,,,,,,,,,
48,029,191004,,,,,,,,,
48,029,191005,,,,,,,,,
48,029,191006,1160,1990,7530,10980,4300,17700,5140,5670,11700
48,029,191101,,,,,,,,,
48,029,191102,,,,,,,,,
48,029,191201,,,,,,,,,
48,029,191202,,,,,,,,,
48,029,191303,,,,,,,,,
48,029,191304,,,,,,,,,
48,029,191405,,,,,,,,,
48,029,191406,1780,2045,7875,12420,7200,15840,15215,7830,4560
48,029,191408,,,,,,,,,
48,029,191409,,,,,,,,,
48,029,191410,825,3735,16470,18720,3850,6000,7115,3630,27030
48,029,191411,705,3510,7995,16620,1700,17525,2080,2045,9510
48,029,191412,,,,,,,,,
48,029,191413,890,3545,8560,22625,8210,9650,7285,3275,11310
48,029,191503,,,,,,,,,
48,029,191504,320,1345,3255,5245,2025,5320,2410,1635,2940
48,029,191505,370,1585,3915,3680,1375,5850,2040,1065,5820
48,029,191506,1570,5745,9145,8220,5550,14010,4990,5265,10300
48,029,191701,415,965,1980,2540,1350,2700,1265,1125,1160
48,029,191702,,,,,,,,,
48,029,191804,460,1670,2850,8180,8975,19150,18635,19945,21005
48,029,191806,885,3795,9405,19600,10825,11880,14205,11295,4500
48,029,191807,1310,2480,4130,7360,4375,4080,2625,2205,8600
48,029,191808,,,,,,,,,
48,029,191809,355,1300,5500,3260,4715,20070,19880,13995,12210
48,029,191810,225,1925,3630,4820,10450,11640,15075,18295,12045
48,029,191811,265,3265,2945,2545,6750,12270,7745,8000,16100
48,029,191812,110,5675,2760,6325,6850,3600,11145,8820,11900
48,029,191813,1625,3010,5775,4660,6750,18360,7480,5665,3900
48,029,191814,340,785,1995,3965,3675,12780,7590,18910,17740
48,029,191815,935,2600,5035,7280,5850,17370,5790,17070,16230
48,029,191816,,,,,,,,,
48,029,191817,2305,5240,8190,21200,9975,35670,16695,12980,24680
48,029,191900,1210,2990,5145,7875,2475,8730,3625,3825,20645
48,029,192000,,,,,,,,,
48,029,192100,,,,,,,,,
48,029,192200,,,,,,,,,
48,029,192300,,,,,,,,,
48,029,980001,,,,,,,,,
48,029,980002,,,,,,,,,
48,029,980003,1090,1640,2465,680,375,630,765,360,
48,029,980004,,,,,,,,,
48,029,980005,,,,,,,,,
48,029,980100,,,,,,,,,
